screen_name,text,retweet_count
youmejelly,"RT @BTS_twt: 방탄생일 축하해 주셔서 감사해요
저도 작은 선물 준비했어요
 ☺️🙏❤️
#JIMIN
#방탄생일ㅊㅋ https://t.co/lhuEliUCgf",783828
Skuh8,"RT @BTS_twt: 생일 진심으로 축하해☺️
#JIMIN
#태형생일ㅊㅋ
#탄이아빠맞네 https://t.co/rfGoJMjUpo",645978
cucukook,"RT @BTS_twt: 생일 진심으로 축하해☺️
#JIMIN
#태형생일ㅊㅋ
#탄이아빠맞네 https://t.co/rfGoJMjUpo",645970
gotujungshook,"RT @BTS_twt: 생일 진심으로 축하해☺️
#JIMIN
#태형생일ㅊㅋ
#탄이아빠맞네 https://t.co/rfGoJMjUpo",645967
mercygirl131,"RT @BTS_twt: 생일 진심으로 축하해☺️
#JIMIN
#태형생일ㅊㅋ
#탄이아빠맞네 https://t.co/rfGoJMjUpo",645964
jjkmp4,"RT @BTS_twt: 꾹아 생일 축하한다
몇일 안보고 만나니까 반갑다이
#JIMIN
#호바리
#친구일동
#꾹이생일ᄎㅋ https://t.co/UHMc6qRzDo",633843
Juvvxxy_,"RT @BTS_twt: Thanks LA🙏😊
#JIMIN
#ROSEBOWL https://t.co/04PQlVLBPP",633634
aa_aaandrea,"RT @BTS_twt: I was so happy..
#JIMIN
#Jk https://t.co/CYflyglPUT",633483
goldnclosetgirl,"RT @BTS_twt: I was so happy..
#JIMIN
#Jk https://t.co/CYflyglPUT",633470
joonstittie,"RT @BTS_twt: I was so happy..
#JIMIN
#Jk https://t.co/CYflyglPUT",633467
